Meal,Item,Calories,Serving Size,Restriction
Breakfast,Ratty Egg White Omlet,45,6oz,Vegetarian,-
Breakfast,Ratty Fried Eggs,130,2 eggs,Vegetarian,-
Breakfast,Ratty Scrambled Eggs,170,4oz,Vegetarian,-
Breakfast,Ratty Popcorn Chicken,190,24oz,Vegetarian,-
Breakfast,Ratty Veggie Sausage Patty,160,2 patties,Vegetarian,-
Breakfast,Ratty Cajun Potatoes,150,4oz,Vegan,-
Breakfast,Ratty Mexican Style Pinto Beans,160,1cup,-
Breakfast,Ratty Brown Rice,300,1 cup,Vegan,Gluten-,Halal,-
Breakfast,Ratty Steel Cut Oats,150,1 cup,Vegan,-
Breakfast,Ratty Plain Yogurt,150,8oz,Vegan,Gluten,-
Breakfast,Ratty Choc Chip Muffin,170,1 muffin,-
Breakfast,Ratty Jelly Donut,240,1 donut,Vegan,-
Breakfast,Ratty Belgian Waffles,300,1 waffle,Vegetarian,-
Breakfast,Ratty Tex Mex Tofu Scramble,300,4oz,Vegan,Gluten,-
Lunch,Ratty Potato Soup,120,6oz,Vegetarian,-
Lunch,Ratty Escarole & Bean Soup,210,1 cup,Vegan,-
Lunch,Ratty Macaroni & Cheese,530,6oz,Vegetarian,-
Lunch,Ratty Bbq Pulled Pork,420,8oz,Gluten,-
Lunch,Ratty Ratatouille,200,8oz,Vegan,-
Lunch,Ratty Potatoes Fries Spicy Wedge Cut,200,5oz,Vegan,-
Lunch,Ratty Basmati Rice,250,1 cup,Halal,-
Lunch,Ratty Beef Chili ,260,1 cup,Halal,-
Lunch,Ratty Cheezy Cauliflower,250,1 serving,Vegan,-
Lunch,Ratty Cajun Red Beans,250,1 cup,Vegan,Halal,-
Lunch,Ratty Rice Krispie Treats,140,1 treat,-
Lunch,Ratty Double Chocolate Cookies,180,1 cookie,Vegan,-
Lunch,Ratty Italian Salad,200,1 serving,-
Lunch,Ratty Seasoned French Fries,360,3oz,-
Lunch,Ratty Grilled Chicken,280,1 piece,Gluten,-
Lunch,Ratty Saugy Hot Dog,170,1 piece,Gluten,-
Lunch,Ratty Breaded Chickn Cutlet,250,1 piece,Vegan,-
Lunch,Ratty Cheese Pizza,190,1 slice,Vegetarian,-
Lunch,Ratty Capicola And Grilled Onion Pizza,210,1 slice,-
Lunch,Ratty Pepperoni Pizza,260,1 slice,-
Lunch,Ratty Rigatoni,280,8oz,-
Lunch,Ratty Whole Wheat Penne,300,4oz,Vegan,-
Dinner,Ratty Escarole & Bean Soup,210,1 cup,Vegan,-
Dinner,Ratty Macaroni & Cheese,530,6oz,Vegetarian,-
Dinner,Ratty Scallop Scampi,210,6oz,-
Dinner,Ratty Rotisserie Pesto Chicken,310,6oz,Halal,-
Dinner,Ratty Lemon Herb Quinoa,160,4oz,Vegan,-
Dinner,Ratty Crispy Fingerling Potatoes,150,4oz,Halal,Vegan,-
Dinner,Ratty Grilled Flank Steak,450,8oz,Halal,-
Dinner,Ratty Chana Masala,150,1 cup,Vegan, Halal,-
Dinner,Ratty Chocolate Cream Pie,490,1 piece,Vegetarian,-
Dinner,Ratty Oreo Cake,310,1 piece,Vegan,-
Dinner,Ratty Brussels Sprouts,50,3oz,Halal,-
Dinner,Ratty Hummus,120,3oz,Vegan, Halal,-
Dinner,Ratty Italian Salad,200,1 serving,-
Dinner,Ratty Seasoned French Fries,360,3oz,-
Dinner,Ratty Grilled Chicken,280,1 piece,Gluten,-
Dinner,Ratty Saugy Hot Dog,170,1 piece,Gluten,-
Dinner,Ratty Breaded Chickn Cutlet,250,1 piece,Vegan,-
Dinner,Ratty Cheese Pizza,190,1 slice,Vegetarian,-
Dinner,Ratty Capicola And Grilled Onion Pizza,210,1 slice,-
Dinner,Ratty Pepperoni Pizza,260,1 slice,-
Dinner,Ratty Rigatoni,280,8oz,-
Dinner,Ratty Whole Wheat Penne,300,4oz,Vegan,-
